run,pallette_number,substrate_barcode
22,3,000001E000290488
22,4,000001E000290489
22,5,000001E000290490
22,6,000001E000290491
22,7,000001E000290492
22,8,000001E000290493
22,9,000001E000290494
22,10,000001E000290495
22,11,000001E000290496
22,12,000001E000290498
22,13,000001E000290501
22,14,000001E000290503
22,15,000001E000290505
22,16,000001E000290506
22,17,000001E000290508
22,18,000001E000290509
22,19,000001E000290510
22,20,000001E000290511
22,21,000001E000290512
22,22,000001E000290513
22,23,000001E000290514
22,24,000001E000290515
22,25,000001E000290516
80,0,000001E000289990
80,1,000001E000290078
80,2,000001E000290077
80,3,000001E000290074
80,4,000001E000290075
80,5,000001E000290076
80,6,000001E000290071
80,7,000001E000290072
80,8,000001E000290073
80,9,000001E000290068
80,10,000001E000290069
80,11,000001E000290070
80,12,000001E000290061
80,13,000001E000290062
80,14,000001E000290063
80,15,000001E000290064
80,16,000001E000290065
80,17,000001E000290058
80,18,000001E000290059
80,19,000001E000290060
80,20,000001E000290055
80,21,000001E000290056
80,22,000001E000290057
80,23,000001E000290052
80,24,000001E000290053
80,25,000001E000290054
80,0,000001E000289991
80,1,000001E000289976
80,2,000001E000289977
80,3,000001E000289978
80,4,000001E000289979
80,5,000001E000289980
80,6,000001E000289981
80,7,000001E000289982
80,8,000001E000289983
80,9,000001E000289984
80,10,000001E000289985
80,11,000001E000289986
80,12,000001E000289939
80,13,000001E000289940
80,14,000001E000289941
80,15,000001E000289942
80,16,000001E000289943
80,17,000001E000289944
80,18,000001E000289945
80,19,000001E000289946
80,20,000001E000289949
80,21,000001E000289950
80,22,000001E000289951
80,23,000001E000289952
80,24,000001E000289953
80,25,000001E000289954
80,0,000001E000289992
80,1,000001E000290045
80,2,000001E000290046
80,3,000001E000290049
80,4,000001E000290050
80,5,000001E000290051
80,6,000001E000290088
80,7,000001E000290084
80,8,000001E000290085
80,9,000001E000290086
80,10,000001E000290087
80,11,000001E000290089
80,12,000001E000290090
80,13,000001E000290091
80,14,000001E000290092
80,15,000001E000290093
80,16,000001E000290094
80,17,000001E000290095
80,18,000001E000290096
80,19,000001E000290097
80,20,000001E000290098
80,21,000001E000290099
80,22,000001E000290101
80,23,000001E000290102
80,24,000001E000290103
80,25,000001E000290104
80,0,000001E000289987
80,1,000001E000290019
80,2,000001E000290020
80,3,000001E000290021
80,4,000001E000290022
80,5,000001E000290023
80,6,000001E000290024
80,7,000001E000290025
80,8,000001E000290026
80,9,000001E000290027
80,10,000001E000290028
80,11,000001E000290029
80,12,000001E000290038
80,13,000001E000290031
80,14,000001E000290032
80,15,000001E000290033
80,16,000001E000290034
80,17,000001E000290035
80,18,000001E000290036
80,19,000001E000290037
80,20,000001E000290039
80,21,000001E000290040
80,22,000001E000290041
80,23,000001E000290042
80,24,000001E000290043
80,25,000001E000290044
79,0,000001E000288980
79,1,000001E000289084
79,2,000001E000289106
79,3,000001E000289104
79,4,000001E000289105
79,5,000001E000289100
79,6,000001E000289102
79,7,000001E000289103
79,8,000001E000289097
79,9,000001E000289098
79,10,000001E000289099
79,11,000001E000289094
79,12,000001E000289095
79,13,000001E000289096
79,14,000001E000289091
79,15,000001E000289092
79,16,000001E000289093
79,17,000001E000289087
79,18,000001E000289088
79,19,000001E000289089
79,20,000001E000288978
79,21,000001E000289085
79,22,000001E000289086
79,23,000001E000289081
79,24,000001E000289082
79,25,000001E000289083
79,0,000001E000288981
79,1,000001E000289022
79,2,000001E000289021
79,3,000001E000289018
79,4,000001E000289019
79,5,000001E000289020
79,6,000001E000289015
79,7,000001E000289016
79,8,000001E000289017
79,9,000001E000289012
79,10,000001E000289013
79,11,000001E000289014
79,12,000001E000289008
79,13,000001E000289009
79,14,000001E000289005
79,15,000001E000289006
79,16,000001E000289007
79,17,000001E000289001
79,18,000001E000289003
79,19,000001E000289004
79,20,000001E000288998
79,21,000001E000288999
79,22,000001E000289000
79,23,000001E000288995
79,24,000001E000288996
79,25,000001E000288997
79,0,000001E000288982
79,1,000001E000289080
79,2,000001E000289078
79,3,000001E000289079
79,4,000001E000289075
79,5,000001E000289076
79,6,000001E000289077
79,7,000001E000289072
79,8,000001E000289073
79,9,000001E000289074
79,10,000001E000289069
79,11,000001E000289070
79,12,000001E000289071
79,13,000001E000289066
79,14,000001E000289067
79,15,000001E000289068
79,16,000001E000289063
79,17,000001E000289064
79,18,000001E000289065
79,19,000001E000289060
79,20,000001E000289061
79,21,000001E000289062
79,22,000001E000289023
79,23,000001E000289024
79,24,000001E000289025
79,25,000001E000289026
79,0,000001E000288983
79,1,000001E000289047
79,2,000001E000289048
79,3,000001E000289051
79,4,000001E000289052
79,5,000001E000289053
79,6,000001E000289054
79,7,000001E000289055
79,8,000001E000289056
79,9,000001E000289057
79,10,000001E000289058
79,11,000001E000289059
79,12,000001E000289123
79,13,000001E000289124
79,14,000001E000289125
79,15,000001E000289126
79,16,000001E000289127
79,17,000001E000289128
79,18,000001E000289129
79,19,000001E000289130
79,20,000001E000289131
79,21,000001E000289132
79,22,000001E000289133
79,23,000001E000289134
79,24,000001E000289135
79,25,000001E000289136
143,0,000001E000290872
143,1,000001E000291058
143,2,000001E000291059
143,3,000001E000291060
143,4,000001E000291061
143,5,000001E000291062
143,6,000001E000291063
143,7,000001E000291065
143,8,000001E000291066
143,9,000001E000291064
143,10,000001E000290907
143,11,000001E000290908
143,12,000001E000290909
143,13,000001E000290910
143,14,000001E000290911
143,15,000001E000290912
143,16,000001E000290913
143,17,000001E000290914
143,18,000001E000290915
143,19,000001E000290916
143,20,000001E000290917
143,21,000001E000290918
143,22,000001E000290919
143,23,000001E000290920
143,24,000001E000290921
143,25,000001E000290922
143,0,000001E000290867
143,1,000001E000291028
143,2,000001E000291027
143,3,000001E000291024
143,4,000001E000291025
143,5,000001E000291026
143,6,000001E000291021
143,7,000001E000291022
143,8,000001E000291023
143,9,000001E000291018
143,10,000001E000291019
143,11,000001E000291020
143,12,000001E000291016
143,13,000001E000291017
143,14,000001E000291012
143,15,000001E000291013
143,16,000001E000291014
143,17,000001E000291009
143,18,000001E000291010
143,19,000001E000291011
143,20,000001E000291006
143,21,000001E000291007
143,22,000001E000291008
143,23,000001E000291003
143,24,000001E000291004
143,25,000001E000291005
20,0,000001E000287577
20,1,000001E000287605
20,2,000001E000287603
20,3,000001E000287604
20,4,000001E000287599
20,5,000001E000287600
20,6,000001E000287601
20,7,000001E000287596
20,8,000001E000287597
20,9,000001E000287598
20,10,000001E000287594
20,11,000001E000287593
20,12,000001E000287590
20,13,000001E000287591
20,14,000001E000287592
20,15,000001E000287587
20,16,000001E000287588
20,17,000001E000287589
20,18,000001E000287584
20,19,000001E000287585
20,20,000001E000287586
20,21,000001E000287581
20,22,000001E000287582
20,23,000001E000287583
20,24,000001E000287482
20,25,000001E000287483
20,0,000001E000287578
20,1,000001E000287510
20,2,000001E000287511
20,3,000001E000287512
20,4,000001E000287513
20,5,000001E000287514
20,6,000001E000287516
20,7,000001E000287517
20,8,000001E000287518
20,9,000001E000287520
20,10,000001E000287521
20,11,000001E000287522
20,12,000001E000287523
20,13,000001E000287524
20,14,000001E000287525
20,15,000001E000287526
20,16,000001E000287527
20,17,000001E000287528
20,18,000001E000287529
20,19,000001E000287530
20,20,000001E000287531
20,21,000001E000287532
20,22,000001E000287533
20,23,000001E000287534
20,24,000001E000287535
20,25,000001E000287536
20,0,000001E000287579
20,1,000001E000287484
20,2,000001E000287485
20,3,000001E000287486
20,4,000001E000287487
20,5,000001E000287488
20,6,000001E000287489
20,7,000001E000287490
20,8,000001E000287491
20,9,000001E000287492
20,10,000001E000287493
20,11,000001E000287494
20,12,000001E000287495
20,13,000001E000287496
20,14,000001E000287497
20,15,000001E000287498
20,16,000001E000287499
20,17,000001E000287500
20,18,000001E000287501
20,19,000001E000287502
20,20,000001E000287503
20,21,000001E000287505
20,22,000001E000287506
20,23,000001E000287507
20,24,000001E000287508
20,25,000001E000287509
20,0,000001E000287537
20,1,000001E000287566
20,2,000001E000287567
20,3,000001E000287568
20,4,000001E000287562
20,5,000001E000287563
20,6,000001E000287564
20,7,000001E000287559
20,8,000001E000287560
20,9,000001E000287561
20,10,000001E000287556
20,11,000001E000287557
20,12,000001E000287558
20,13,000001E000287553
20,14,000001E000287554
20,15,000001E000287555
20,16,000001E000287547
20,17,000001E000287548
20,18,000001E000287549
20,19,000001E000287609
20,20,000001E000287610
20,21,000001E000287611
20,22,000001E000287612
20,23,000001E000287606
20,24,000001E000287607
20,25,000001E000287608
21,0,000001E000288255
21,1,000001E000288347
21,2,000001E000288348
21,3,000001E000288351
21,4,000001E000288352
21,5,000001E000288353
21,6,000001E000288289
21,7,000001E000288290
21,8,000001E000288291
21,9,000001E000288292
21,10,000001E000288293
21,11,000001E000288294
21,12,000001E000288295
21,13,000001E000288296
21,14,000001E000288297
21,15,000001E000288298
21,16,000001E000288299
21,17,000001E000288300
21,18,000001E000288302
21,19,000001E000288303
21,20,000001E000288304
21,21,000001E000288305
21,22,000001E000288306
21,23,000001E000288307
21,24,000001E000288308
21,25,000001E000288310
21,0,000001E000288256
21,1,000001E000288246
21,2,000001E000288243
21,3,000001E000288244
21,4,000001E000288245
21,5,000001E000288240
21,6,000001E000288241
21,7,000001E000288242
21,8,000001E000288237
21,9,000001E000288238
21,10,000001E000288239
21,11,000001E000288234
21,12,000001E000288235
21,13,000001E000288236
21,14,000001E000288231
21,15,000001E000288232
21,16,000001E000288233
21,17,000001E000288228
21,18,000001E000288229
21,19,000001E000288230
21,20,000001E000288225
21,21,000001E000288226
21,22,000001E000288227
21,23,000001E000288381
21,24,000001E000288382
21,25,000001E000288383
21,0,000001E000288257
21,1,000001E000288380
21,2,000001E000288376
21,3,000001E000288377
21,4,000001E000288378
21,5,000001E000288379
21,6,000001E000288373
21,7,000001E000288374
21,8,000001E000288375
21,9,000001E000288370
21,10,000001E000288371
21,11,000001E000288372
21,12,000001E000288366
21,13,000001E000288367
21,14,000001E000288363
21,15,000001E000288364
21,16,000001E000288365
21,17,000001E000288360
21,18,000001E000288361
21,19,000001E000288362
21,20,000001E000288357
21,21,000001E000288358
21,22,000001E000288359
21,23,000001E000288354
21,24,000001E000288355
21,25,000001E000288356
21,0,000001E000288252
21,1,000001E000288322
21,2,000001E000288323
21,3,000001E000288324
21,4,000001E000288325
21,5,000001E000288326
21,6,000001E000288327
21,7,000001E000288328
21,8,000001E000288329
21,9,000001E000288330
21,10,000001E000288331
21,11,000001E000288332
21,12,000001E000288333
21,13,000001E000288334
21,14,000001E000288335
21,15,000001E000288336
21,16,000001E000288337
21,17,000001E000288338
21,18,000001E000288339
21,19,000001E000288340
21,20,000001E000288341
21,21,000001E000288342
21,22,000001E000288343
21,23,000001E000288344
21,24,000001E000288345
21,25,000001E000288346
79,0,000001E000289514
79,1,000001E000289411
79,2,000001E000289412
79,3,000001E000289413
79,4,000001E000289414
79,5,000001E000289415
79,6,000001E000289416
79,7,000001E000289417
79,8,000001E000289418
79,9,000001E000289419
79,10,000001E000289420
79,11,000001E000289421
79,12,000001E000289422
