cassette_number,cassette_code,substrate_barcode,pallette_number,run
Cassette 02,A000110,000001E000290193,14,80
Cassette 02,A000110,000001E000290188,15,80
Cassette 02,A000110,000001E000290189,16,80
Cassette 02,A000110,000001E000290190,17,80
Cassette 02,A000110,000001E000290185,18,80
Cassette 02,A000110,000001E000290186,19,80
Cassette 02,A000110,000001E000290187,20,80
Cassette 02,A000110,000001E000290182,21,80
Cassette 02,A000110,000001E000290183,22,80
Cassette 02,A000110,000001E000290178,23,80
Cassette 02,A000110,000001E000290180,24,80
Cassette 02,A000110,000001E000290181,25,80
Cassette 03,A000107,000001E000290166,0,80
Cassette 03,A000107,000001E000290296,1,80
Cassette 03,A000107,000001E000290297,2,80
Cassette 03,A000107,000001E000290298,3,80
Cassette 03,A000107,000001E000290299,4,80
Cassette 03,A000107,000001E000290301,5,80
Cassette 03,A000107,000001E000290302,6,80
Cassette 03,A000107,000001E000290303,7,80
Cassette 03,A000107,000001E000290304,8,80
Cassette 03,A000107,000001E000290305,9,80
Cassette 03,A000107,000001E000290306,10,80
Cassette 03,A000107,000001E000290115,11,80
Cassette 03,A000107,000001E000290116,12,80
Cassette 03,A000107,000001E000290117,13,80
Cassette 03,A000107,000001E000290118,14,80
Cassette 03,A000107,000001E000290119,15,80
Cassette 03,A000107,000001E000290120,16,80
Cassette 03,A000107,000001E000290121,17,80
Cassette 03,A000107,000001E000290122,18,80
Cassette 03,A000107,000001E000290123,19,80
Cassette 03,A000107,000001E000290124,20,80
Cassette 03,A000107,000001E000290125,21,80
Cassette 03,A000107,000001E000290126,22,80
Cassette 03,A000107,000001E000290127,23,80
Cassette 03,A000107,000001E000290128,24,80
Cassette 03,A000107,000001E000290129,25,80
Cassette 04,A000049,000001E000290167,0,80
Cassette 04,A000049,000001E000290264,1,80
Cassette 04,A000049,000001E000290262,2,80
Cassette 04,A000049,000001E000290263,3,80
Cassette 04,A000049,000001E000290259,4,80
Cassette 04,A000049,000001E000290260,5,80
Cassette 04,A000049,000001E000290261,6,80
Cassette 04,A000049,000001E000290256,7,80
Cassette 04,A000049,000001E000290257,8,80
Cassette 04,A000049,000001E000290258,9,80
Cassette 04,A000049,000001E000290253,10,80
Cassette 04,A000049,000001E000290254,11,80
Cassette 04,A000049,000001E000290255,12,80
Cassette 04,A000049,000001E000290250,13,80
Cassette 04,A000049,000001E000290251,14,80
Cassette 04,A000049,000001E000290252,15,80
Cassette 04,A000049,000001E000290252,16,80
Cassette 04,A000049,000001E000290248,17,80
Cassette 04,A000049,000001E000290249,18,80
Cassette 04,A000049,000001E000290243,19,80
Cassette 04,A000049,000001E000290244,20,80
Cassette 04,A000049,000001E000290245,21,80
Cassette 04,A000049,000001E000290206,22,80
Cassette 04,A000049,000001E000290207,23,80
Cassette 04,A000049,000001E000290208,24,80
Cassette 04,A000049,000001E000290209,25,80
Cassette 01,A000064,000001E000290397,0,22
Cassette 01,A000064,000001E000290360,1,22
Cassette 01,A000064,000001E000290358,2,22
