cassette_number,cassette_code,substrate_barcode,pallette_number,run
Cassette 03,A000061,000001E000287487,4,20
Cassette 03,A000061,000001E000287488,5,20
Cassette 03,A000061,000001E000287489,6,20
Cassette 03,A000061,000001E000287490,7,20
Cassette 03,A000061,000001E000287491,8,20
Cassette 03,A000061,000001E000287492,9,20
Cassette 03,A000061,000001E000287493,10,20
Cassette 03,A000061,000001E000287494,11,20
Cassette 03,A000061,000001E000287495,12,20
Cassette 03,A000061,000001E000287496,13,20
Cassette 03,A000061,000001E000287497,14,20
Cassette 03,A000061,000001E000287498,15,20
Cassette 03,A000061,000001E000287499,16,20
Cassette 03,A000061,000001E000287500,17,20
Cassette 03,A000061,000001E000287501,18,20
Cassette 03,A000061,000001E000287502,19,20
Cassette 03,A000061,000001E000287503,20,20
Cassette 03,A000061,000001E000287505,21,20
Cassette 03,A000061,000001E000287506,22,20
Cassette 03,A000061,000001E000287507,23,20
Cassette 03,A000061,000001E000287508,24,20
Cassette 03,A000061,000001E000287509,25,20
Cassette 04,A000019,000001E000287537,0,20
Cassette 04,A000019,000001E000287566,1,20
Cassette 04,A000019,000001E000287567,2,20
Cassette 04,A000019,000001E000287568,3,20
Cassette 04,A000019,000001E000287562,4,20
Cassette 04,A000019,000001E000287563,5,20
Cassette 04,A000019,000001E000287564,6,20
Cassette 04,A000019,000001E000287559,7,20
Cassette 04,A000019,000001E000287560,8,20
Cassette 04,A000019,000001E000287561,9,20
Cassette 04,A000019,000001E000287556,10,20
Cassette 04,A000019,000001E000287557,11,20
Cassette 04,A000019,000001E000287558,12,20
Cassette 04,A000019,000001E000287553,13,20
Cassette 04,A000019,000001E000287554,14,20
Cassette 04,A000019,000001E000287555,15,20
Cassette 04,A000019,000001E000287547,16,20
Cassette 04,A000019,000001E000287548,17,20
Cassette 04,A000019,000001E000287549,18,20
Cassette 04,A000019,000001E000287609,19,20
Cassette 04,A000019,000001E000287610,20,20
Cassette 04,A000019,000001E000287611,21,20
Cassette 04,A000019,000001E000287612,22,20
Cassette 04,A000019,000001E000287606,23,20
Cassette 04,A000019,000001E000287607,24,20
Cassette 04,A000019,000001E000287608,25,20
Cassette 01,A000076,000001E000288255,0,21
Cassette 01,A000076,000001E000288347,1,21
Cassette 01,A000076,000001E000288348,2,21
Cassette 01,A000076,000001E000288351,3,21
Cassette 01,A000076,000001E000288352,4,21
Cassette 01,A000076,000001E000288353,5,21
Cassette 01,A000076,000001E000288289,6,21
Cassette 01,A000076,000001E000288290,7,21
Cassette 01,A000076,000001E000288291,8,21
Cassette 01,A000076,000001E000288292,9,21
Cassette 01,A000076,000001E000288293,10,21
Cassette 01,A000076,000001E000288294,11,21
Cassette 01,A000076,000001E000288295,12,21
Cassette 01,A000076,000001E000288296,13,21
Cassette 01,A000076,000001E000288297,14,21
Cassette 01,A000076,000001E000288298,15,21
Cassette 01,A000076,000001E000288299,16,21
Cassette 01,A000076,000001E000288300,17,21
Cassette 01,A000076,000001E000288302,18,21
Cassette 01,A000076,000001E000288303,19,21
Cassette 01,A000076,000001E000288304,20,21
Cassette 01,A000076,000001E000288305,21,21
Cassette 01,A000076,000001E000288306,22,21
Cassette 01,A000076,000001E000288307,23,21
Cassette 01,A000076,000001E000288308,24,21
Cassette 01,A000076,000001E000288310,25,21
Cassette 02,A000001,000001E000288256,0,21
Cassette 02,A000001,000001E000288246,1,21
Cassette 02,A000001,000001E000288243,2,21
Cassette 02,A000001,000001E000288244,3,21
Cassette 02,A000001,000001E000288245,4,21
Cassette 02,A000001,000001E000288240,5,21
Cassette 02,A000001,000001E000288241,6,21
Cassette 02,A000001,000001E000288242,7,21
Cassette 02,A000001,000001E000288237,8,21
Cassette 02,A000001,000001E000288238,9,21
Cassette 02,A000001,000001E000288239,10,21
Cassette 02,A000001,000001E000288234,11,21
Cassette 02,A000001,000001E000288235,12,21
Cassette 02,A000001,000001E000288236,13,21
Cassette 02,A000001,000001E000288231,14,21
Cassette 02,A000001,000001E000288232,15,21
Cassette 02,A000001,000001E000288233,16,21
Cassette 02,A000001,000001E000288228,17,21
Cassette 02,A000001,000001E000288229,18,21
Cassette 02,A000001,000001E000288230,19,21
Cassette 02,A000001,000001E000288225,20,21
Cassette 02,A000001,000001E000288226,21,21
Cassette 02,A000001,000001E000288227,22,21
Cassette 02,A000001,000001E000288381,23,21
Cassette 02,A000001,000001E000288382,24,21
Cassette 02,A000001,000001E000288383,25,21
Cassette 03,A000080,000001E000288257,0,21
Cassette 03,A000080,000001E000288380,1,21
Cassette 03,A000080,000001E000288376,2,21
Cassette 03,A000080,000001E000288377,3,21
Cassette 03,A000080,000001E000288378,4,21
Cassette 03,A000080,000001E000288379,5,21
Cassette 03,A000080,000001E000288373,6,21
Cassette 03,A000080,000001E000288374,7,21
Cassette 03,A000080,000001E000288375,8,21
Cassette 03,A000080,000001E000288370,9,21
Cassette 03,A000080,000001E000288371,10,21
Cassette 03,A000080,000001E000288372,11,21
Cassette 03,A000080,000001E000288366,12,21
Cassette 03,A000080,000001E000288367,13,21
Cassette 03,A000080,000001E000288363,14,21
Cassette 03,A000080,000001E000288364,15,21
Cassette 03,A000080,000001E000288365,16,21
Cassette 03,A000080,000001E000288360,17,21
Cassette 03,A000080,000001E000288361,18,21
Cassette 03,A000080,000001E000288362,19,21
Cassette 03,A000080,000001E000288357,20,21
Cassette 03,A000080,000001E000288358,21,21
Cassette 03,A000080,000001E000288359,22,21
Cassette 03,A000080,000001E000288354,23,21
Cassette 03,A000080,000001E000288355,24,21
Cassette 03,A000080,000001E000288356,25,21
Cassette 04,A000118,000001E000288252,0,21
Cassette 04,A000118,000001E000288322,1,21
Cassette 04,A000118,000001E000288323,2,21
Cassette 04,A000118,000001E000288324,3,21
Cassette 04,A000118,000001E000288325,4,21
Cassette 04,A000118,000001E000288326,5,21
Cassette 04,A000118,000001E000288327,6,21
Cassette 04,A000118,000001E000288328,7,21
Cassette 04,A000118,000001E000288329,8,21
Cassette 04,A000118,000001E000288330,9,21
Cassette 04,A000118,000001E000288331,10,21
Cassette 04,A000118,000001E000288332,11,21
Cassette 04,A000118,000001E000288333,12,21
Cassette 04,A000118,000001E000288334,13,21
Cassette 04,A000118,000001E000288335,14,21
Cassette 04,A000118,000001E000288336,15,21
Cassette 04,A000118,000001E000288337,16,21
Cassette 04,A000118,000001E000288338,17,21
Cassette 04,A000118,000001E000288339,18,21
Cassette 04,A000118,000001E000288340,19,21
Cassette 04,A000118,000001E000288341,20,21
Cassette 04,A000118,000001E000288342,21,21
Cassette 04,A000118,000001E000288343,22,21
Cassette 04,A000118,000001E000288344,23,21
Cassette 04,A000118,000001E000288345,24,21
Cassette 04,A000118,000001E000288346,25,21
Cassette 01,A000049,000001E000289514,0,79
Cassette 01,A000049,000001E000289411,1,79
Cassette 01,A000049,000001E000289412,2,79
Cassette 01,A000049,000001E000289413,3,79
Cassette 01,A000049,000001E000289414,4,79
Cassette 01,A000049,000001E000289415,5,79
Cassette 01,A000049,000001E000289416,6,79
Cassette 01,A000049,000001E000289417,7,79
Cassette 01,A000049,000001E000289418,8,79
Cassette 01,A000049,000001E000289419,9,79
Cassette 01,A000049,000001E000289420,10,79
Cassette 01,A000049,000001E000289421,11,79
Cassette 01,A000049,000001E000289422,12,79
Cassette 01,A000049,000001E000289423,13,79
Cassette 01,A000049,000001E000289426,14,79
Cassette 01,A000049,000001E000289425,15,79
Cassette 01,A000049,000001E000289427,16,79
Cassette 01,A000049,000001E000289428,17,79
Cassette 01,A000049,000001E000289429,18,79
Cassette 01,A000049,000001E000289430,19,79
Cassette 01,A000049,000001E000289431,20,79
Cassette 01,A000049,000001E000289432,21,79
Cassette 01,A000049,000001E000289433,22,79
Cassette 01,A000049,000001E000289434,23,79
Cassette 01,A000049,000001E000289435,24,79
Cassette 01,A000049,000001E000289436,25,79
Cassette 02,A000109,000001E000289515,0,79
Cassette 02,A000109,000001E000289466,1,79
Cassette 02,A000109,000001E000289463,2,79
Cassette 02,A000109,000001E000289464,3,79
Cassette 02,A000109,000001E000289465,4,79
Cassette 02,A000109,000001E000289460,5,79
Cassette 02,A000109,000001E000289461,6,79
Cassette 02,A000109,000001E000289462,7,79
Cassette 02,A000109,000001E000289457,8,79
Cassette 02,A000109,000001E000289458,9,79
Cassette 02,A000109,000001E000289459,10,79
Cassette 02,A000109,000001E000289454,11,79
Cassette 02,A000109,000001E000289455,12,79
Cassette 02,A000109,000001E000289456,13,79
Cassette 02,A000109,000001E000289451,14,79
Cassette 02,A000109,000001E000289452,15,79
Cassette 02,A000109,000001E000289453,16,79
Cassette 02,A000109,000001E000289445,17,79
Cassette 02,A000109,000001E000289446,18,79
Cassette 02,A000109,000001E000289450,19,79
Cassette 02,A000109,000001E000289442,20,79
Cassette 02,A000109,000001E000289443,21,79
Cassette 02,A000109,000001E000289444,22,79
Cassette 02,A000109,000001E000289535,23,79
Cassette 02,A000109,000001E000289537,24,79
Cassette 02,A000109,000001E000289538,25,79
Cassette 03,A000037,000001E000289516,0,79
Cassette 03,A000037,000001E000289437,1,79
Cassette 03,A000037,000001E000289438,2,79
Cassette 03,A000037,000001E000289439,3,79
Cassette 03,A000037,000001E000289440,4,79
Cassette 03,A000037,000001E000289441,5,79
Cassette 03,A000037,000001E000289476,6,79
Cassette 03,A000037,000001E000289477,7,79
Cassette 03,A000037,000001E000289478,8,79
Cassette 03,A000037,000001E000289479,9,79
Cassette 03,A000037,000001E000289480,10,79
Cassette 03,A000037,000001E000289481,11,79
Cassette 03,A000037,000001E000289482,12,79
Cassette 03,A000037,000001E000289483,13,79
Cassette 03,A000037,000001E000289484,14,79
Cassette 03,A000037,000001E000289485,15,79
Cassette 03,A000037,000001E000289486,16,79
Cassette 03,A000037,000001E000289487,17,79
Cassette 03,A000037,000001E000289488,18,79
Cassette 03,A000037,000001E000289489,19,79
Cassette 03,A000037,000001E000289490,20,79
Cassette 03,A000037,000001E000289491,21,79
Cassette 03,A000037,000001E000289492,22,79
Cassette 03,A000037,000001E000289493,23,79
Cassette 03,A000037,000001E000289494,24,79
Cassette 03,A000037,000001E000289495,25,79
Cassette 04,A000110,000001E000289511,0,79
Cassette 04,A000110,000001E000289394,1,79
Cassette 04,A000110,000001E000289395,2,79
Cassette 04,A000110,000001E000289396,3,79
Cassette 04,A000110,000001E000289397,4,79
Cassette 04,A000110,000001E000289391,5,79
Cassette 04,A000110,000001E000289392,6,79
Cassette 04,A000110,000001E000289393,7,79
Cassette 04,A000110,000001E000289388,8,79
Cassette 04,A000110,000001E000289389,9,79
Cassette 04,A000110,000001E000289390,10,79
Cassette 04,A000110,000001E000289386,11,79
Cassette 04,A000110,000001E000289385,12,79
Cassette 04,A000110,000001E000289382,13,79
Cassette 04,A000110,000001E000289384,14,79
Cassette 04,A000110,000001E000289379,15,79
Cassette 04,A000110,000001E000289380,16,79
Cassette 04,A000110,000001E000289381,17,79
Cassette 04,A000110,000001E000289473,18,79
Cassette 04,A000110,000001E000289474,19,79
Cassette 04,A000110,000001E000289475,20,79
Cassette 04,A000110,000001E000289470,21,79
Cassette 04,A000110,000001E000289471,22,79
Cassette 04,A000110,000001E000289472,23,79
Cassette 04,A000110,000001E000289467,24,79
Cassette 04,A000110,000001E000289469,25,79
